Key,Value
saleData.history.2024-08.dataByPropertyType[0].averagePricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[0].medianPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[0].minPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[0].maxPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[0].averageSquareFootage,
saleData.history.2024-08.dataByPropertyType[0].medianSquareFootage,
saleData.history.2024-08.dataByPropertyType[0].minSquareFootage,
saleData.history.2024-08.dataByPropertyType[0].maxSquareFootage,
saleData.history.2024-08.dataByPropertyType[0].averageDaysOnMarket,124
saleData.history.2024-08.dataByPropertyType[0].medianDaysOnMarket,18
saleData.history.2024-08.dataByPropertyType[0].minDaysOnMarket,18
saleData.history.2024-08.dataByPropertyType[0].maxDaysOnMarket,230
saleData.history.2024-08.dataByPropertyType[0].newListings,1
saleData.history.2024-08.dataByPropertyType[0].totalListings,2
saleData.history.2024-08.dataByPropertyType[1].propertyType,Land
saleData.history.2024-08.dataByPropertyType[1].averagePrice,422500
saleData.history.2024-08.dataByPropertyType[1].medianPrice,75000
saleData.history.2024-08.dataByPropertyType[1].minPrice,75000
saleData.history.2024-08.dataByPropertyType[1].maxPrice,770000
saleData.history.2024-08.dataByPropertyType[1].averagePricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[1].medianPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[1].minPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[1].maxPricePerSquareFoot,
saleData.history.2024-08.dataByPropertyType[1].averageSquareFootage,
saleData.history.2024-08.dataByPropertyType[1].medianSquareFootage,
saleData.history.2024-08.dataByPropertyType[1].minSquareFootage,
saleData.history.2024-08.dataByPropertyType[1].maxSquareFootage,
saleData.history.2024-08.dataByPropertyType[1].averageDaysOnMarket,174
saleData.history.2024-08.dataByPropertyType[1].medianDaysOnMarket,112
saleData.history.2024-08.dataByPropertyType[1].minDaysOnMarket,112
saleData.history.2024-08.dataByPropertyType[1].maxDaysOnMarket,236
saleData.history.2024-08.dataByPropertyType[1].newListings,0
saleData.history.2024-08.dataByPropertyType[1].totalListings,2
saleData.history.2024-08.dataByPropertyType[2].propertyType,Manufactured
saleData.history.2024-08.dataByPropertyType[2].averagePrice,255856
saleData.history.2024-08.dataByPropertyType[2].medianPrice,175000
saleData.history.2024-08.dataByPropertyType[2].minPrice,99000
saleData.history.2024-08.dataByPropertyType[2].maxPrice,975000
saleData.history.2024-08.dataByPropertyType[2].averagePricePerSquareFoot,122.27
saleData.history.2024-08.dataByPropertyType[2].medianPricePerSquareFoot,122.27
saleData.history.2024-08.dataByPropertyType[2].minPricePerSquareFoot,122.27
saleData.history.2024-08.dataByPropertyType[2].maxPricePerSquareFoot,122.27
saleData.history.2024-08.dataByPropertyType[2].averageSquareFootage,1962
saleData.history.2024-08.dataByPropertyType[2].medianSquareFootage,1962
saleData.history.2024-08.dataByPropertyType[2].minSquareFootage,1962
saleData.history.2024-08.dataByPropertyType[2].maxSquareFootage,1962
saleData.history.2024-08.dataByPropertyType[2].averageDaysOnMarket,51.67
saleData.history.2024-08.dataByPropertyType[2].medianDaysOnMarket,31
saleData.history.2024-08.dataByPropertyType[2].minDaysOnMarket,4
saleData.history.2024-08.dataByPropertyType[2].maxDaysOnMarket,269
saleData.history.2024-08.dataByPropertyType[2].newListings,3
saleData.history.2024-08.dataByPropertyType[2].totalListings,9
saleData.history.2024-08.dataByPropertyType[3].propertyType,Single Family
saleData.history.2024-08.dataByPropertyType[3].averagePrice,309096
saleData.history.2024-08.dataByPropertyType[3].medianPrice,285000
saleData.history.2024-08.dataByPropertyType[3].minPrice,100000
saleData.history.2024-08.dataByPropertyType[3].maxPrice,799900
saleData.history.2024-08.dataByPropertyType[3].averagePricePerSquareFoot,179.6
saleData.history.2024-08.dataByPropertyType[3].medianPricePerSquareFoot,160.38
saleData.history.2024-08.dataByPropertyType[3].minPricePerSquareFoot,115.81
saleData.history.2024-08.dataByPropertyType[3].maxPricePerSquareFoot,342.62
saleData.history.2024-08.dataByPropertyType[3].averageSquareFootage,1857
saleData.history.2024-08.dataByPropertyType[3].medianSquareFootage,1700
saleData.history.2024-08.dataByPropertyType[3].minSquareFootage,610
saleData.history.2024-08.dataByPropertyType[3].maxSquareFootage,4588
saleData.history.2024-08.dataByPropertyType[3].averageDaysOnMarket,61.46
saleData.history.2024-08.dataByPropertyType[3].medianDaysOnMarket,46
saleData.history.2024-08.dataByPropertyType[3].minDaysOnMarket,2
saleData.history.2024-08.dataByPropertyType[3].maxDaysOnMarket,327
saleData.history.2024-08.dataByPropertyType[3].newListings,31
saleData.history.2024-08.dataByPropertyType[3].totalListings,157
saleData.history.2024-08.dataByPropertyType[4].propertyType,Townhouse
saleData.history.2024-08.dataByPropertyType[4].averagePrice,297521
saleData.history.2024-08.dataByPropertyType[4].medianPrice,284990
saleData.history.2024-08.dataByPropertyType[4].minPrice,129900
saleData.history.2024-08.dataByPropertyType[4].maxPrice,765000
saleData.history.2024-08.dataByPropertyType[4].averagePricePerSquareFoot,177.36
saleData.history.2024-08.dataByPropertyType[4].medianPricePerSquareFoot,177.36
saleData.history.2024-08.dataByPropertyType[4].minPricePerSquareFoot,167.19
saleData.history.2024-08.dataByPropertyType[4].maxPricePerSquareFoot,192.33
saleData.history.2024-08.dataByPropertyType[4].averageSquareFootage,1611
saleData.history.2024-08.dataByPropertyType[4].medianSquareFootage,1573
saleData.history.2024-08.dataByPropertyType[4].minSquareFootage,1573
saleData.history.2024-08.dataByPropertyType[4].maxSquareFootage,1674
saleData.history.2024-08.dataByPropertyType[4].averageDaysOnMarket,34.18
saleData.history.2024-08.dataByPropertyType[4].medianDaysOnMarket,19
saleData.history.2024-08.dataByPropertyType[4].minDaysOnMarket,2
saleData.history.2024-08.dataByPropertyType[4].maxDaysOnMarket,304
saleData.history.2024-08.dataByPropertyType[4].newListings,21
saleData.history.2024-08.dataByPropertyType[4].totalListings,45
saleData.history.2024-08.dataByBedrooms[0].bedrooms,1
saleData.history.2024-08.dataByBedrooms[0].averagePrice,197967
saleData.history.2024-08.dataByBedrooms[0].medianPrice,209000
saleData.history.2024-08.dataByBedrooms[0].minPrice,147900
saleData.history.2024-08.dataByBedrooms[0].maxPrice,237000
saleData.history.2024-08.dataByBedrooms[0].averagePricePerSquareFoot,342.62
saleData.history.2024-08.dataByBedrooms[0].medianPricePerSquareFoot,342.62
saleData.history.2024-08.dataByBedrooms[0].minPricePerSquareFoot,342.62
saleData.history.2024-08.dataByBedrooms[0].maxPricePerSquareFoot,342.62
saleData.history.2024-08.dataByBedrooms[0].averageSquareFootage,610
saleData.history.2024-08.dataByBedrooms[0].medianSquareFootage,610
saleData.history.2024-08.dataByBedrooms[0].minSquareFootage,610
saleData.history.2024-08.dataByBedrooms[0].maxSquareFootage,610
saleData.history.2024-08.dataByBedrooms[0].averageDaysOnMarket,132
saleData.history.2024-08.dataByBedrooms[0].medianDaysOnMarket,69
saleData.history.2024-08.dataByBedrooms[0].minDaysOnMarket,56
saleData.history.2024-08.dataByBedrooms[0].maxDaysOnMarket,271
saleData.history.2024-08.dataByBedrooms[0].newListings,0
saleData.history.2024-08.dataByBedrooms[0].totalListings,3
saleData.history.2024-08.dataByBedrooms[1].bedrooms,2
saleData.history.2024-08.dataByBedrooms[1].averagePrice,262526
saleData.history.2024-08.dataByBedrooms[1].medianPrice,247000
saleData.history.2024-08.dataByBedrooms[1].minPrice,125000
saleData.history.2024-08.dataByBedrooms[1].maxPrice,770000
saleData.history.2024-08.dataByBedrooms[1].averagePricePerSquareFoot,197.26
saleData.history.2024-08.dataByBedrooms[1].medianPricePerSquareFoot,189.21
saleData.history.2024-08.dataByBedrooms[1].minPricePerSquareFoot,119.98
saleData.history.2024-08.dataByBedrooms[1].maxPricePerSquareFoot,305.16
saleData.history.2024-08.dataByBedrooms[1].averageSquareFootage,1373
saleData.history.2024-08.dataByBedrooms[1].medianSquareFootage,1427
saleData.history.2024-08.dataByBedrooms[1].minSquareFootage,899
saleData.history.2024-08.dataByBedrooms[1].maxSquareFootage,2292
saleData.history.2024-08.dataByBedrooms[1].averageDaysOnMarket,79.33
